5b64dc76a4af260e918828df,"西北工业大学明德学院,西北工业大学",http://www.xatrm.com/techexpert/detail/01212A452FC659B0E050007F01007315.jspx,"史晓亮,西安科技大学",,1, 武汉理工大学,https://baike.baidu.com/item/%E5%8F%B2%E6%99%93%E4%BA%AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b650ed3a4af2609c49f1af4,"陕西师范大学党委,陕西师范大学",https://zh.wikipedia.org/zh-hans/%E7%A8%8B%E5%85%89%E6%97%AD,"程光旭,西安交通大学",,, 西安交通大学,http://clet.xjtu.edu.cn/info/1056/2105.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b643f01a4af2607336f8308,上海市第一人民医院外科,https://www.youlai.cn/super/docintro/43610/,"李继坤,上海交通大学",,,犐虾＝煌ù笱?http://js.guahao.com/expert/e4c0ec85-d95b-4061-855d-ece56d6ba876000?hospDeptId=dc84f1f0-366f-43aa-8405-7a880869c1cc000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b646d77a4af260a39f3a1bd,教育部,http://www.baidu.com/link?url=5Z3EsM3yYzDo3FgeSVE8xoGUNHJMrVNnrsXPtSLtzLvzPJEpn_IHfxldjnyspFLB,"王廷华,四川大学",,,犓拇ù笱?http://sklb.scu.edu.cn/detail.html?type=postgraduateDetail&id=37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6542a7a4af2609c49f2ae5,"浙江师范大学,浙江师范大学化学与生命科学学院",http://www.baidu.com/link?url=eRS1WTUZM3n6UPgvxFjdWLVe14Colg4B4jhlqo25xczDiFWSHGFJmJRclQqRmjm2cuokl3V8GxiOqb4PBLS7Ca,"李春霞,中国科学院长春应用化学研究所",,,犝憬Ψ洞笱?http://sky.zjnu.edu.cn/2016/1010/c4853a85585/page.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6446bda4af2607336f856b,"|  学校校历  京ICP备",http://www.ucas.ac.cn/site/157?u=59930,"代小蓉,中国科学院城市环境研究所",,,犞泄蒲г撼鞘谢肪逞芯克?http://www.iue.cas.cn/nb/dw/fyjy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b645f19a4af260a39f39d8b,|English|中国科学院,http://www.baidu.com/link?url=PX3QqFyIUstxYpP-UArKGB-i9y06xEUilOPqzh_sYoYZjRoGBsovuLc0a9PCYscGUDEwJRpL554rl_Dub1R9Ca6uzowhHIktdupVSUoKbaa,"李晴岚,中国科学院深圳先进技术研究院",,,犞泄蒲г荷钲谙冉际跹芯吭?http://people.ucas.edu.cn/~0036141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b651f3ca4af2609c49f1fe2,化学化工学院,http://chem.ujn.edu.cn/detail.asp?id=3400,"张昭良,济南大学",,,",济南大学",https://baike.baidu.com/item/%E5%BC%A0%E6%98%AD%E8%89%AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\,Z,_?0Dl,s_J?O,3vb,_>_,;b4_fY,烤-,fI'fFfb_,#NAME?,0(U_,_E_l,Gs_/-,_>_b_v@,0@,A0(',3bZ,Y茶,_a__;b,_丕_,_?.,-_/_,-0('f,-?'f,_,#NAME?,W30蠊:_,_'f,"-0('ffI	Z","b	U_",吭,_昊:4)_ê,_\_,fI'f,-q峥,0(~2回寰b,,"]	f>",W3,__/v@__\,fI0(fb;;/,_溷_荬v@,_濂柒
5b650b73a4af2609c49f19ef,|农业经济管理系,http://bs.gxu.edu.cn/info/1477/7789.htm,"陈新建,广西大学",,,广西大学商学院,http://bs.gxu.edu.cn/info/1477/7789.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6558c1a4af2609c49f31b4,"|师资队",http://physics.gxu.edu.cn/info/1128/1254.htm,"万玲玉,广西大学",,,广西大学物理科学与工程技术学院,http://physics.gxu.edu.cn/info/1128/1254.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64b05fa4af260e91881b9a,广西急救医疗质量控制中心,http://www.gxmu.edu.cn/syej/msmj/ejjs/201405/t20140523_42503.htm,"李超乾,广西医科大学",,,广西急救医疗质量控制中心,http://www.gxmu.edu.cn/syej/msmj/ejjs/201405/t20140523_42503.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64bdaaa4af260e91881f8b,"政协,校科学技术处,政协广西第十届常委",http://www.baidu.com/link?url=tLnmLNi5kizXbjH6IzbY67Br57uOLasYnNdZXpLvgQbet8I7T_acM-vj_HC1kHai,"伍时华,广西科技大学",,,广西科技大学,http://www.x-mol.com/university/faculty/24167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b655da3a4af2609c49f3338,中科院广州化学有限公司,http://www.gic.cas.cn/yjsjy/dsjs/ssds/201012/t20101208_3040072.html,"庞浩,广西科学院",,,广西科学院,http://www.gic.cas.cn/yjsjy/dsjs/ssds/201012/t20101208_3040072.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b656974a4af2609c49f36e8,"|材料科学网",http://www.baidu.com/link?url=964842tHop-Hvg3sdH-V1OcfbE14AUZquPTcbaaVOEQqeJnxkTIg7_obX1trQIwAXkQrET5GkHyTibUFdyGhUK,"王彦辉,广西壮族自治区农业科学院",,1,广西农业科学院,http://www.gxaas.net/zhibao/ShowNews.aspx?NId=21913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64bf36a4af260e91881fff,广西农业科学院,http://www.gxaas.net/report/ShowNews.aspx?NId=6507,"何红,广西壮族自治区农业科学院",,,广西农业科学院,https://baike.baidu.com/item/%E4%BD%95%E7%BA%A2/18416619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6577aba4af2609c49f3b3f,环境生物教研室,http://www.baidu.com/link?url=PZ8E9KrSqlJT2RDYt0b_O-RHjLz1Vk4eo_UBGE0S7gJv4wCgj0bG5ARyHVSZl6_ZWinLk1Mj3adrb_9NbWreGUNvBNs4rHgNSolDXGTrbANke-6f6NhwxjDzvcM9GSgG,"张杏辉,广西师范大学",,,广西师范大学,https://baike.baidu.com/item/%E5%BC%A0%E6%9D%8F%E8%BE%89/8143398?fr=aladdin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64b64ea4af260e91881d5c,学院,http://www.ci.gxnu.edu.cn/shizi/show-7052.html,"王利娥,广西师范大学",,,广西师范大学,http://www.ci.gxnu.edu.cn/shizi/show-7052.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6460cfa4af260a39f39e0e,"广西水产科学研究院,鱼病防治研究室,广西水产科学研究院生物技术研究室",http://www.gxfishery.com.cn/newsview-127.aspx,"钟欢,广西壮族自治区水产科学研究院",,,广西水产科学研究院,http://www.gxfishery.com.cn/newsview-127.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b67df7ea4af2623f3628cbc,广西水产研究所,http://www.gxfishery.com.cn/newsview-134.aspx,"陈晓汉,广西壮族自治区水产科学研究院",,,广西水产研究所,http://www.zgkjcx.com/Article/ShowArticle.asp?ArticleID=14209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64332aa4af2607336f7f68,药理学教研室,http://www.gx211.com/news/2016219/n3891339331.html,"黄仁彬,广西医科大学",,,广西医科大学,http://www.gx211.com/news/2016219/n3891339331.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b654bd1a4af2609c49f2db9,中华预防医学会卒中预防与控制专业委员会,http://210.36.48.22/infor/Dsjs.aspx?dsdm=20201110,"刘竞丽,广西医科大学",,,广西医科大学第一附属医院神经内科,http://210.36.48.22/infor/Dsjs.aspx?dsdm=20201110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64cf23a4af260e918824c6,广西玉林市政协,https://bkso.baidu.com/item/%E6%A2%81%E4%BC%9F%E6%B1%9F,"梁伟江,玉林师范学院",,,广西玉林市政协,https://bkso.baidu.com/item/%E6%A2%81%E4%BC%9F%E6%B1%9F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b659beda4af2609c49f467f,广西中医学院,https://baike.baidu.com/item/%E6%9E%97%E6%B1%9F/7744213,"林江,广西中医药大学",,,广西中医大学基础医学院,http://jcyxy.cngxjy.com/menu8/ShowArticle.asp?ArticleID=122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b67ed1ea4af26471c291b13,"广西中医学院基础医学院生理学教研室,广西中医学院",http://www.baidu.com/link?url=zGvoGCcWJQxIKi7KlpenEkwcu-w-XH9DBS1sLSTaP8SjqGDMtzEf2WPGftUqaWw6MiRIJtrKUayUFEz6y8syyK,"赵铁建,广西中医药大学",,,广西中医大学基础医学院,http://jcyxy.cngxjy.com/menu8/ShowArticle.asp?ArticleID=110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b656ab5a4af2609c49f374b,"成都有中医药大学,广西中医儿科学会,儿科教研室",http://www.baidu.com/link?url=0DSn1Wt2lRNVPoq-UYi9vqqJZf_Tl_6MJ1osL2xZ04HbvI7462oLimVOJrA2aetmHCuqoUmKgSNtnGIsmgHFQP7AMGiQkq9AJc17AkSqOq8dJqDPkH8Aw8McGXYKAkBV,"王力宁,广西中医药大学第一附属医院",,,广西中医儿科学会,https://baike.baidu.com/item/%E7%8E%8B%E5%8A%9B%E5%AE%81/5348214?fr=aladdin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b65685aa4af2609c49f368f,四川省集体建筑业协会,https://baike.baidu.com/item/%E9%BB%84%E4%BB%81%E5%8F%91,"黄仁发,广西中医药大学",,,广西中医药大学,https://baike.baidu.com/item/%E9%BB%84%E4%BB%81%E5%8F%91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653ceaa4af2609c49f291a,"中医学院,广西中医学院",http://dylc.gxtcmu.edu.cn/Item/229.aspx,"王清坚,广西中医药大学",,,广西中医药大学,http://dylc.gxtcmu.edu.cn/Item/1460.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6576f8a4af2609c49f3b06,科技部信息中心,http://www.baidu.com/link?url=4XN6Y_LFB1SD1FW-b9T1BAPZTW1kex3MI4GCjSxe-pV7ETIw8RWGrhzdzORl5TuWe61pkI8FkVSWO3pQnoQm4q,"曾春晖,广西中医药大学",,,广西中医药大学,http://yxy.gxtcmu.edu.cn/Item/1250.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b646d38a4af260a39f3a1ac,中国中西医结合肾脏病专业委员会,http://dylc.gxtcmu.edu.cn/Item/1903.aspx,"史伟,广西中医药大学",,,广西中医药大学,http://dylc.gxtcmu.edu.cn/Item/1903.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b648061a4af260a39f3a743,美国药学科学家协会(AmericanAssociationofPharmaceuticalScientists,http://gxrkyy.gxtcmu.edu.cn/Item/181.aspx,"周倍伊,广西中医药大学",,,广西中医药大学,http://gxrkyy.gxtcmu.edu.cn/Item/181.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64b41fa4af260e91881cb8,广西壮族自治区环境保护厅,https://bkso.baidu.com/item/%E9%82%93%E8%B6%85%E5%86%B0,"邓超冰,广西壮族自治区环境监测中心站",,,广西壮族自治区环境保护厅,http://www.gxsttt.com/portal.php?mod=view&aid=93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6588a2a4af2609c49f4078,"广西气象台,广西水牛,广西水力机械研究所,研究室",http://gxsttt.com/portal.php?mod=list&catid=12,"林开平,广西壮族自治区气象减灾研究所",,,广西壮族自治区气象,http://gxsttt.com/portal.php?mod=view&aid=304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64c6e2a4af260e9188224a,广西壮族自治区政协,https://baike.baidu.com/item/%E4%BF%9E%E6%9B%99%E9%9C%9E,"俞曙霞,广西大学",,,广西壮族自治区政协,https://baike.baidu.com/item/%E4%BF%9E%E6%9B%99%E9%9C%9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b659a83a4af2609c49f460f,"|广西植物学会,|研究队",http://www.gxib.cn/content/?661.html,"许为斌,广西壮族自治区中国科学院广西植物研究所",,,广西壮族自治区中国科学院广西植物研究所,http://www.gxib.cn/content/?661.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64d297a4af260e918825d4,"|研究队,|广西植物学会",http://www.gxib.cn/content/?416.html,"黄夕洋,广西壮族自治区中国科学院广西植物研究所",,,广西壮族自治区中国科学院广西植物研究所,http://www.gxib.cn/content/?416.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b66cbc5a4af2623f3623d70,"中国野生植物保护协会兰科植物保育委员会,|广西植物学会,|研究队",http://www.gxib.cn/content/?369.html,"刘演,广西壮族自治区中国科学院广西植物研究所",,,广西壮族自治区中国科学院广西植物研究所,http://www.gxib.cn/content/?369.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b66f114a4af2623f36248b4,"|广西植物学会,|研究队",http://www.gxib.cn/content/?381.html,"唐赛春,广西壮族自治区中国科学院广西植物研究所",,1,广西壮族自治区中国科学院广西植物研究所,http://www.gxib.cn/content/?381.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b646714a4af260a39f39fe1,医院,http://www.baidu.com/link?url=OuBQsrZwJ_YFuj_7gEVAPyNZl_brU6aS7eYTYLPRyGDKJ7MMwJOb_5DIlpXJIZY_zR3-xUSDMZ6PSZ14AX7Pta,"韦长元,广西壮族自治区肿瘤防治研究所",,,广西壮族自治区肿瘤医院,https://m.120ask.com/ylxx/doctor/detail?id=35236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b65971da4af2609c49f44fa,广州市政协,https://baike.baidu.com/item/%E5%BA%BE%E5%BB%BA%E8%AE%BE,"庾建设,广州大学",,,广州大学,https://baike.baidu.com/item/%E5%BA%BE%E5%BB%BA%E8%AE%BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b644b58a4af2607336f86d4,中华医学会神经病学会脑血管病学组,http://www.gk114.com/yjsyx/3086/6540/20140215182827.htm,"徐恩,广州医科大学",,,广州医科大学,http://yjs.gzhmu.edu.cn:8019/pub/yjsjy/dsdw/sjbx/16146.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b67fb75a4af26471c291f2f,广州医学院附属肿瘤医院,http://shengming.haodf.com/doctor/DE4r08xQdKSLPDkViPv5LwmK7DLi.htm,"崔书中,广州医科大学",,,广州医科大学,http://yjs.gzhmu.edu.cn:8019/pub/yjsjy/dsdw/zlx/16328.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64aa09a4af260e918819ca,第一附属医院国家药品临床研究机构,http://www.baidu.com/link?url=Iz8K9bogLAcPEgB5z9VWT32wKT9lrhM3q2FoYLS8R7-CWO54eTtmH874sSku07LFaA_pa8h6jiWuE_bNX19_m7McX2UoVr2D-z-dGhHdhzS,"冼绍祥,广州中医药大学",,,广州中医药大学第一附属医院,https://baike.baidu.com/item/%E5%86%BC%E7%BB%8D%E7%A5%A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64cd62a4af260e9188243d,中药资源科学与工程研究中心,http://yz.kaoyan.com/gzhtcm/daoshi/26/510367/,"詹若挺,广州中医药大学",,,广州中医药大学第一附属医院,http://yz.kaoyan.com/gzhtcm/daoshi/26/510367/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64e24ea4af260e91882ab1,"广州中医药大学,广州中医药大学第二附属医院",http://chenxiuhua8.u.yynet.cn/,"陈秀华,广东省中医院",,,广州中医药大学第一附属医院,https://baike.baidu.com/item/%E9%99%88%E7%A7%80%E5%8D%8E/2249681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6516b9a4af2609c49f1d56,"贵阳医学院神奇民族医药学院药学系,贵阳医学院",http://www.baidu.com/link?url=c-54NSH1ju5A3o9aUj_jbP1J-hIViiCx_3Zevms-3UIl8H2l6OWfI3XRrsNmjVqSGd7pvClRWU1Qzj7PyvchIcPe68PGgaCAqWJuy0kHJRmITPThdFxkhMFQtf3zEKNE,"郝小燕,贵州医科大学",,,贵阳医学院药学院,https://baike.baidu.com/item/%E9%83%9D%E5%B0%8F%E7%87%95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653a55a4af2609c49f284b,贵阳中医一附院,http://www.baidu.com/link?url=09kiFx72ZkNFancdBo_FJ9o_YfjICo_zXw8XatVcpyP0WXWwMgSbQoQe_Xw3RK3o6lFQ0vnKqNgF6tN68dzAl2feUHcGgM73TASw1lIGZpUHIxD890PgGrlAzpAC2yu7,"詹继红,贵阳中医学院",,,贵阳中医学院,http://yjs.gyctcm.edu.cn/info/1051/1421.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b644425a4af2607336f849f,"中国生物化学与分子生物学会中医药生物化学与分子生物学分会,生物化学",https://baike.baidu.com/item/%E7%8E%8B%E5%92%8C%E7%94%9F/58421,"王和生,贵阳中医学院",,,贵阳中医学院,http://yjs.gyctcm.edu.cn/info/1050/1377.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b644074a4af2607336f8379,中华中医药学会中医儿科分会,http://qqhealth.haodf.com/doctor/DE4r0BCkuHzdeZpMGLHeCoEzBhPT2.htm,"彭玉,贵阳中医学院第二附属医院",,,贵阳中医学院第二附属医院,https://mysk.familydoctor.com.cn/abaout/108985/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6510baa4af2609c49f1b80,贵州工学院,http://www.czslib.com/grid2008/DetailAuthor/DetailView.aspx?authorId=06946594&authorName=escape(%E8%A2%81%E6%9C%9B%E6%B2%BB),"袁望治,贵州大学",,,贵州大学,http://www.czslib.com/grid2008/DetailAuthor/DetailView.aspx?authorId=06946594&authorName=escape(%E8%A2%81%E6%9C%9B%E6%B2%BB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6599d6a4af2609c49f45d6,"贵州大学,贵州大学贵州省森林资源与环境研究中心",http://frerc.gzu.edu.cn/2016/0918/c8634a52811/page.htm,"郭其强,西藏大学农牧学院",,1,贵州大学,http://frerc.gzu.edu.cn/2016/0918/c8634a52811/page.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b66d6aea4af2623f36240b5,贵州省建筑材料科学研究设计院,http://www.gzas.org.cn/rcgz/rck/201609/t20160930_1070812.html,"贺勇,贵州科学院",,,贵州省建筑材料科学研究设计院,http://www.gzas.org.cn/rcgz/rck/201609/t20160930_1070812.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6569c6a4af2609c49f3701,机械与电气工程学院,http://ddh.gznu.edu.cn/info/1005/1090.htm,"胡圣波,贵州师范大学",,,贵州师范大学,http://ddh.gznu.edu.cn/info/1005/1090.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b657deaa4af2609c49f3d2e,"作|教研室|党团",http://yjx.gmc.edu.cn/info/1997/3812.htm,"李琴山,贵州医科大学",,1,贵州医科大学,http://yjx.gmc.edu.cn/info/1997/3812.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b657e6fa4af2609c49f3d56,"信息平台|党团",http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1560&wbnewsid=3141,"王豫萍,贵州医科大学",,1,贵州医科大学,http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1560&wbnewsid=3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64d82ea4af260e9188278a,"作|教研室|党团",http://yjx.gmc.edu.cn/info/1997/3812.htm,"费樱,贵州医科大学",,1,贵州医科大学,http://yjx.gmc.edu.cn/info/1997/3812.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b651183a4af2609c49f1bbe,"信息平台|党团",http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1560&wbnewsid=3075,"齐晓岚,贵州医科大学",,1,贵州医科大学,http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1560&wbnewsid=3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64a4b2a4af260e91881836,"信息平台|党团",http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1559&wbnewsid=3023,"伍国锋,贵州医科大学",,,贵州医科大学,http://yjsxy.gmc.edu.cn/info/1559/4042.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64cae0a4af260e9188237d,"信息平台|党团",http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1559&wbnewsid=3020,"杨勤,贵州医科大学",,,贵州医科大学,http://yjsxy.gmc.edu.cn/nr.jsp?urltype=news.NewsContentUrl&wbtreeid=1559&wbnewsid=3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b679cfda4af2623f362793f,"|学术团队|研究室",http://www.aptianlei.com/html/xxtd..info10301142.html,"赵永龙,贵州医科大学",,1,贵州医科大学,http://yxy.gmc.edu.cn/info/1010/1917.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6750c0a4af2623f36263c0,"|师资队,ENGLISH|院,页|学院,|新闻中心",http://www.baidu.com/link?url=fzbvLWcoJVpTy7zpHXrSA27kdBcMhU3MB-8fmtna_WIMpZIeWWcr4o_0ZGvtps1teLtcBhXzGYsi2iyeCW0gH_,"欧海龙,贵州医科大学",,1,贵州医科大学基础医学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64db36a4af260e9188287d,"古屋大学,|学校,旧帝国大学",http://www.guet.edu.cn/dept10/info/1047/1186.htm,"苗蕾,桂林电子科技大学",,,桂林电子科技大学,http://yjsgl.guet.edu.cn/TeacherInfor.aspx?TID=4F3E3CF1BA53EB31&TName=F357DB8A8B476F7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64a48da4af260e9188182b,"医院,西南儿童哮喘防治协作组",http://hospital.glmc.edu.cn/doctor.php?id=6906,"欧维琳,桂林医学院",,,桂林医学院,http://hospital.glmc.edu.cn/doctor.php?id=6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64d26ca4af260e918825c7,"|院校",http://www.baidu.com/link?url=lAgRQz5dRAcKgJ6pQyEdv_nZwQapErzWEpiCz0TUYFOM3pdx-E2rqwTPtGyvuasghx1k1dnqHBgxEsebOqjfZ_,"郭振友,桂林医学院",,1,桂林医学院,http://daxue.netbig.com/1973/teacher/376134/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64aeffa4af260e91881b31,医院,http://hospital.glmc.edu.cn/doctor.php?id=8805,"贝朝涌,桂林医学院",,,桂林医学院附属医院,http://hospital.glmc.edu.cn/doctor.php?id=8805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b677eafa4af2623f3627078,医院,http://hospital.glmc.edu.cn/doctor.php?id=3311,"李全忠,桂林医学院",,1,桂林医学院附属医院,http://hospital.glmc.edu.cn/doctor.php?id=3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b678ebba4af2623f3627522,医院,http://hospital.glmc.edu.cn/doctor.php?id=3269,"金俊飞,桂林医学院",,1,桂林医学院附属医院,http://hospital.glmc.edu.cn/doctor.php?id=3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b654a1ca4af2609c49f2d2f,"EfficientBlack-BoxApproachtoConsolidateMemoryinVirtualizationPlatform会议PengfeiZhang|Rui",http://npd.nsfc.gov.cn/projectDetail.action?pid=61003076,"褚瑞,中国人民解放军国防科学技术大学",,1,国防科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b67ab2aa4af2623f3627d5a,中国人民解放军国防科技大学研究生院,https://baike.baidu.com/item/%E7%8E%8B%E6%8C%AF%E5%9B%BD/18941488,"王振国,中国人民解放军国防科学技术大学",,,国防科技大学研究生院,https://baike.baidu.com/item/%E7%8E%8B%E6%8C%AF%E5%9B%BD/18941488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b649fe6a4af260e918816c8,"|材料科学网",http://www.baidu.com/link?url=0Hgn3hhmseYkas8Kp729wg_1TLs8PSJIsz1mZp-xeanCyVFOeRZ6DgYdtTCj7578B1LTlmjOlBS4myPot_03HvaUwSoYYQVjyJaDP9xZdAC,"李东建,国核电力规划设计研究院",,,国核电力规划设计研究院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b671fe6a4af2623f3625651,国际SPIE学会,https://baike.baidu.com/item/%E5%A7%9A%E6%B1%89%E6%B0%91,"姚汉民,中国科学院光电技术研究所",,,国际SPIE学会,https://baike.baidu.com/item/%E5%A7%9A%E6%B1%89%E6%B0%91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6595dda4af2609c49f4494,国家大豆工程技术研究中心,http://www.baidu.com/link?url=fiEORUqHTvd6NumU_QjST5BsOGMGr7xQ5jnhprVdAmWORm8Gm1XSKGaO2vw1YC34LpW2UWE2aO5xvo7Wyy9ZCq,"朱秀清,黑龙江省大豆技术开发研究中心",,,国家大豆工程技术研究中心,http://www.chinasoy.net/Detail.aspx?id=229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b644609a4af2607336f8532,"|材料科学网",http://www.baidu.com/link?url=Qc8kw2uCSGepvvb1UYDGA6cyVHanEji-zMPugBRmq92PL85ppB3flO8t6jKQ7q3My8dqfb5Br9zDaKlOMMyYMq,"李彦龙,宁夏农林科学院",,,国家枸杞工程技术研究中心,http://xueshu.baidu.com/scholarID/CN-B374JKIJ?site=xueshu_ri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b64cf2aa4af260e918824c8,海洋生态室,http://www.nmemc.org.cn/zjdw/170.jhtml,"樊景凤,国家海洋环境监测中心",,,国家海洋环境监测中心,http://www.nmemc.org.cn/zjdw/170.jhtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6578e8a4af2609c49f3ba2,国家海洋局海洋生物遗传资源重点实验室,http://www.tio.org.cn/shuoshishow.aspx?id=e215a0c2-a13b-4ec0-b62d-d49266b513b2,"杨丰,国家海洋局第三海洋研究所",,,国家海洋局第三海洋研究所,http://www.tio.org.cn/shuoshishow.aspx?id=e215a0c2-a13b-4ec0-b62d-d49266b513b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b67a081a4af2623f3627a4c,"|材料科学网",http://www.baidu.com/link?url=s02GE7B4LK_1HDKk3eWYdSV0BgmDNg1PjwHxDj7DtWFJgdoAHdzMAiWzfS5Gffhyqrdy3CpWy48-x6EWW5Aii_,"姜英辉,国家海洋局第一海洋研究所",,1,国家海洋局第一海洋研究所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
